component_id	system_id	name	description
COMP_14905_CATALYTIC	SYS_14905_PURF	amidophosphoribosyltransferase protein	Required catalytic protein.
COMP_17453_CATALYTIC	SYS_17453_MONOMER	GAR synthetase protein	Required catalytic protein; alternative markers are OR.
COMP_15053_CATALYTIC	SYS_15053_FOLATE	GAR transformylase protein	Required catalytic protein; alternative markers are OR.
COMP_24829_CATALYTIC	SYS_24829_FORMATE	GAR formyltransferase 2 protein	Required catalytic protein.
COMP_17129_LARGE	SYS_17129_LARGE	large FGAM synthase protein	Required single-protein architecture.
COMP_17129_TRI_A	SYS_17129_TRIMER	FGAM synthase trimer component A	Required component one of three.
COMP_17129_TRI_B	SYS_17129_TRIMER	FGAM synthase trimer component B	Required component two of three.
COMP_17129_TRI_C	SYS_17129_TRIMER	FGAM synthase trimer component C	Required component three of three.
COMP_17129_DI_A	SYS_17129_DIMER	FGAM synthase two-component protein A	Required component one of two.
COMP_17129_DI_B	SYS_17129_DIMER	FGAM synthase two-component protein B	Required component two of two.
COMP_23032_CATALYTIC	SYS_23032_AIR_SYNTHASE	AIR synthetase protein	Required catalytic protein; alternative markers are OR.
COMP_10792_CATALYTIC	SYS_10792_DIRECT	direct AIR carboxylase protein	Required catalytic protein; alternative markers are OR.
COMP_19317_CATALYTIC	SYS_19317_N5CAIR_SYNTHASE	N5-CAIR synthetase protein	Required catalytic protein.
COMP_13193_CATALYTIC	SYS_13193_N5CAIR_MUTASE	N5-CAIR mutase protein	Required catalytic protein.
COMP_22628_CATALYTIC	SYS_22628_SAICAR	SAICAR synthetase protein	Required catalytic protein; alternative markers are OR.
COMP_23920_CATALYTIC	SYS_23920_LYASE	SAICAR lyase protein	Required catalytic protein.
COMP_22192_CATALYTIC	SYS_22192_FOLATE	AICAR transformylase protein	Required catalytic protein; alternative markers are OR.
COMP_24836_CATALYTIC	SYS_24836_FORMATE	FAICAR synthetase protein	Required catalytic protein.
COMP_18445_CATALYTIC	SYS_18445_CYCLASE	IMP cyclohydrolase protein	Required catalytic protein; alternative markers are OR.
COMP_15753_CATALYTIC	SYS_15753_ADSS	adenylosuccinate synthase protein	Required catalytic protein.
COMP_16853_CATALYTIC	SYS_16853_ADSL	adenylosuccinate lyase protein	Required catalytic protein.
COMP_11708_CATALYTIC	SYS_11708_IMPDH	IMP dehydrogenase protein	Required catalytic protein.
