component_id	namespace	accession	evidence_type	confidence	source	notes
COMP_DF_HSDS	KO	K01154	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	The orthologue group is defined as the type I restriction enzyme S subunit, so it separates type I from types II, III and IV. It does not resolve which target sequence the variable target recognition domains specify.
COMP_DF_HSDM	KO	K03427	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	Defined as the type I restriction enzyme M protein.
COMP_DF_HSDR	KO	K01153	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	Defined as the type I restriction enzyme R subunit.
COMP_DF_CASA	KO	K19123	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	
COMP_DF_CASB	KO	K19046	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	
COMP_DF_CASC	KO	K19124	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	
COMP_DF_CASD	KO	K19125	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	
COMP_DF_CASE	KO	K19126	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	
COMP_DF_CAS3	KO	K07012	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	The fused endonuclease-helicase. K07475, the standalone HD nuclease module of a split Cas3, is not accepted as evidence of the complete function.
COMP_DF_CAS1	KO	K15342	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	
COMP_DF_CAS2	KO	K09951	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-18	
COMP_DF_MERA	KO	K00520	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-19	Defined as mercuric reductase, EC 1.16.1.1.
COMP_DF_MERA	TIGRFAM	TIGR02053	sequence_family	high-confidence	InterPro/NCBIfam, retrieved 2026-08-19	An alternative to the orthology group, not a second requirement. InterPro IPR021179 is the integrated entry; the InterPro accession itself is not curated, because giftr's evidence layer has no InterPro namespace and would store an accession it can never match.
COMP_DF_MERT	KO	K08363	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-19	
COMP_DF_MERP	KO	K08364	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-19	
COMP_DF_MERC	KO	K19058	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-19	
COMP_DF_MERE	KO	K19059	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-19	
COMP_DF_MERR	KO	K08365	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-19	K19057 (MerD) is not accepted here: it is a co-regulator that modulates MerR-driven transcription, not an alternative activator.
COMP_DF_MERB	KO	K00221	orthology	curated	KEGG orthology, verified against KEGG REST 2026-08-19	NF033555 (NCBIfam, organomercurial lyase MerB) names the enzyme more specifically but is not curated: it is not integrated into InterPro and giftr's evidence layer recognises no NCBIfam NF namespace.
