reaction_id	rhea_master	name	description
RHEA:14905	RHEA:14905	amidophosphoribosyltransferase reaction	PRPP to 5-phosphoribosylamine; used in reverse relative to the Rhea master equation.
RHEA:17453	RHEA:17453	phosphoribosylamine--glycine ligase reaction	Formation of phosphoribosylglycinamide.
RHEA:15053	RHEA:15053	GAR transformylase reaction	Folate-dependent formation of phosphoribosyl-N-formylglycinamide.
RHEA:24829	RHEA:24829	GAR formyltransferase 2 reaction	Formate- and ATP-dependent alternative formation of phosphoribosyl-N-formylglycinamide.
RHEA:17129	RHEA:17129	FGAM synthase reaction	Formation of phosphoribosylformylglycinamidine.
RHEA:23032	RHEA:23032	AIR synthetase reaction	Cyclization to phosphoribosylaminoimidazole.
RHEA:10792	RHEA:10792	AIR carboxylase reaction	Direct AIR to CAIR conversion; used in reverse relative to the Rhea master equation.
RHEA:19317	RHEA:19317	N5-CAIR synthetase reaction	ATP-dependent formation of N5-carboxyaminoimidazole ribonucleotide.
RHEA:13193	RHEA:13193	N5-CAIR mutase reaction	Conversion of N5-carboxyaminoimidazole ribonucleotide to CAIR.
RHEA:22628	RHEA:22628	SAICAR synthetase reaction	Formation of succinylaminoimidazolecarboxamide ribotide.
RHEA:23920	RHEA:23920	SAICAR lyase reaction	Formation of AICAR and fumarate.
RHEA:22192	RHEA:22192	AICAR transformylase reaction	Folate-dependent formation of FAICAR.
RHEA:24836	RHEA:24836	FAICAR synthetase reaction	Formate- and ATP-dependent alternative formation of FAICAR.
RHEA:18445	RHEA:18445	IMP cyclohydrolase reaction	FAICAR to IMP ring closure; used in reverse relative to the Rhea master equation.
RHEA:15753	RHEA:15753	adenylosuccinate synthase reaction	Formation of adenylosuccinate from IMP.
RHEA:16853	RHEA:16853	adenylosuccinate lyase reaction	Formation of AMP and fumarate from adenylosuccinate.
RHEA:11708	RHEA:11708	IMP dehydrogenase reaction	NAD-dependent oxidation of IMP to XMP, committing the guanylate branch.
RHEA:11680	RHEA:11680	GMP synthase reaction	Glutamine-dependent amination of XMP to GMP.
RHEA:18633	RHEA:18633	carbamoyl-phosphate synthase reaction	Glutamine-dependent formation of carbamoyl phosphate.
RHEA:20013	RHEA:20013	aspartate carbamoyltransferase reaction	Formation of N-carbamoyl-L-aspartate from carbamoyl phosphate and L-aspartate.
